runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
3,3896,77107,10000,65
3,3897,200799,10000,859
3,4873,202261,10000,878
3,3896,59210,10000,41
3,3896,132338,10000,439
3,4870,87221,10000,73
3,3899,176781,10000,751
3,3899,114674,10000,311
3,3897,138226,10000,427
3,3898,118007,10000,337
3,3897,177506,10000,711
3,4895,99723,10000,175
3,4871,75505,10000,71
3,3898,181287,10000,715
3,4871,184012,10000,846
3,3898,143966,10000,545
3,3894,191870,10000,796
3,3898,69335,10000,63
3,4870,187513,10000,752
3,4866,160830,10000,474
3,4867,174922,10000,721
3,3896,149386,10000,547
3,3974,169000,10000,695
3,3900,153715,10000,591
3,4872,140728,10000,404
3,3897,174451,10000,670
3,3897,177881,10000,730
3,3896,130876,10000,403
3,3898,148316,10000,465
3,3896,131741,10000,383
3,3895,129502,10000,375
3,3895,93757,10000,185
3,4871,82691,10000,122
3,3896,215559,10000,1015
3,4869,84334,10000,101
3,3896,139448,10000,460
3,4869,206814,10000,842
3,3899,169471,10000,607
3,3895,57317,10000,10
3,3896,181100,10000,727
3,3896,142450,10000,487
4,3010,57737,10000,279
4,2975,101034,10000,965
4,2982,65032,10000,380
4,2959,61753,10000,322
4,2965,101386,10000,959
4,2984,74814,10000,491
4,2974,91357,10000,789
4,2949,103780,10000,977
4,2998,77451,10000,467
4,2932,50236,10000,210
4,3022,79249,10000,595
4,2975,103219,10000,982
4,2959,36743,10000,66
4,2958,80301,10000,643
4,2956,58192,10000,298
4,2937,74105,10000,513
4,2992,88310,10000,794
4,2925,61886,10000,316
4,2951,91507,10000,775
4,3519,76390,10000,596
4,2940,81282,10000,676
4,2933,89633,10000,794
4,2935,84396,10000,762
4,2931,36436,10000,39
4,2945,90930,10000,789
4,2931,94328,10000,877
4,2980,59268,10000,305
4,2947,87339,10000,703
4,3865,68469,10000,423
4,2969,70973,10000,444
4,2978,94679,10000,807
4,2926,55573,10000,283
4,2962,84717,10000,694
4,2942,32786,10000,30
4,4305,102730,10000,977
4,2952,50966,10000,183
4,2985,74285,10000,528
4,3027,96126,10000,909
4,2980,100409,10000,916
4,2950,65882,10000,349
4,3420,81710,10000,680
4,2947,83136,10000,605
4,2946,62967,10000,387
4,2949,77240,10000,588
4,2971,57008,10000,264
4,2989,79731,10000,566
4,3634,84837,10000,724
4,2954,80369,10000,616
4,2957,75205,10000,538
4,2965,75111,10000,485
4,2929,75268,10000,475
4,2937,82991,10000,694
4,2958,100208,10000,973
4,2936,53940,10000,235
4,2974,101632,10000,973
4,2965,45327,10000,142
4,2950,67265,10000,377
4,2924,52715,10000,219
4,3488,77032,10000,623
4,3049,103565,10000,995
4,2968,85611,10000,753
4,4330,45591,10000,180
4,3014,73320,10000,522
4,2989,61165,10000,339
4,3000,55513,10000,192
4,3807,86562,10000,709
4,2957,92310,10000,866
